trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,3.94984850399851,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
2,right,2.2713895909982966,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
3,left,1.6306638339992787,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
4,left,1.1767804009996325,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
5,right,2.1016364359984436,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
6,left,1.666320125998027,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
7,right,1.1929232849997788,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
8,left,1.8219221259987535,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
9,left,2.796058133999395,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
10,right,0.7432245799991506,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
11,right,1.0560121679991425,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
12,right,1.6104738009998982,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
13,left,1.043458952999572,0.005,7,24,120,24,120,240,0.0,142,2,0.02
14,right,0.8855260409982293,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
15,left,0.8437019399989367,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
16,right,1.0185578299988265,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
17,right,0.6519065519987635,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
18,left,0.8762775019986293,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
19,right,1.0850088189999951,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
20,left,0.8685667529989587,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
21,left,1.293114752999827,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
22,left,1.1228662560006342,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
23,left,1.7267853769990325,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
24,right,0.9624724879995483,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
25,left,1.2515355489995272,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
26,left,1.4798872589999519,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
27,right,1.0729691590004222,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
