trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.8471937439999238,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
2,left,2.1647767969998313,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
3,left,1.3480763289990136,0.005,7,24,120,24,120,240,0.0,142,2,0.02
4,right,1.2682116309997582,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
5,left,1.2432142070001646,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
6,left,0.663846007999382,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
7,right,1.5846992150000005,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
8,left,1.234992751999016,0.035,2,24,120,24,120,240,0.0,142,1,0.052
9,right,1.4260293969991835,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
10,right,0.9895596179994754,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
11,left,0.8598202749999473,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
12,left,1.5049684849991536,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
13,right,0.8423177159993429,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
14,left,1.110250632998941,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
15,left,1.3477858229989579,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
16,right,1.1015794469994944,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
17,right,1.555081832999349,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
18,left,3.8836785199991937,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
19,left,0.806048030999591,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
20,right,2.1730480209989764,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
21,right,1.9474919899994347,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
22,left,2.8009856689996013,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
23,right,1.9631667159992503,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
24,left,2.318446694999693,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
25,left,4.893798520999553,0.005,4,24,120,24,120,240,0.0,142,2,0.011
26,right,1.2812257539999337,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
27,right,2.2476432079993174,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
28,right,2.0061365929987005,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
29,right,1.5714843209998435,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
30,right,0.7594514909987993,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
31,right,1.459853659998771,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
