trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,8.356155193000006,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
2,right,0.733509233999996,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
3,right,0.2683206519999999,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
4,right,0.12152552100002367,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
5,right,0.48518186400002605,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
6,left,0.8231615990000023,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
7,left,0.6981348510000203,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
8,left,1.5182129390000227,0.005,7,24,120,24,120,240,0.0,142,1,0.02
9,left,0.8637591419999922,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
10,left,2.1474250260000645,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
11,right,1.347652088000018,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
12,right,1.380678506000038,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
13,right,1.8020645300000524,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
14,right,1.0930657389999965,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
15,left,0.9890966500000218,0.035,7,24,120,24,120,240,0.0,142,2,0.14
16,left,1.6761004380000486,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
17,right,1.2854637420000472,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
18,right,1.5017914150000138,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
19,left,1.426571008000053,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
20,left,1.1590217230000803,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
21,left,1.072550523000018,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
22,left,1.0345910330000265,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
23,right,0.9795954040000083,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
24,left,1.0144339750000313,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
25,right,0.8261144370000011,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
26,right,0.9976739859999952,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
27,right,1.0757088220000242,0.005,4,24,120,24,120,240,0.0,142,1,0.011
28,right,0.7265528440000253,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
29,right,1.0101507020000327,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
30,left,1.4731119319999948,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
31,left,1.448161467000034,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
32,left,1.0935075440000332,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
33,right,0.9601188550000757,0.035,7,24,120,24,120,240,0.0,142,1,0.14
34,left,1.58114063000005,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
35,left,1.9897241060000397,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
36,right,0.9502413500000557,0.035,2,24,120,24,120,240,0.0,142,2,0.052
