trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,8.814084419999972,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
2,right,1.3977534969999397,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
3,left,2.190122929999916,0.035,7,24,120,24,120,240,0.0,142,2,0.14
4,left,14.9082963809999,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
5,right,1.671609607999926,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
6,right,31.01893319199985,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
7,left,2.5848184669998773,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
8,left,0.8262245690000327,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
9,left,2.3394709560000138,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
10,left,4.814609017999828,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
11,right,1.3772490029998607,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
12,right,1.5146484069998678,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
13,right,1.576742867999883,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
14,left,2.0474864820000676,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
15,right,1.1564112510000086,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
16,left,1.1522725830000127,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
17,left,3.205677509999987,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
18,left,1.2017046680000476,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
19,left,1.7439236389998314,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
20,right,1.059378838999919,0.035,7,24,120,24,120,240,0.0,142,1,0.14
21,left,4.143755773999828,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
22,right,2.1312038789999406,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
23,right,3.83485744099994,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
24,left,2.8845435869998255,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
25,left,2.5474756679998336,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
26,right,1.1641145919998053,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
27,left,1.1225153109999155,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
28,left,1.800365735000014,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
29,right,1.384568554999987,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
30,left,1.022169495999833,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
31,right,5.329997032999927,0.035,2,24,120,24,120,240,0.0,142,1,0.052
32,left,1.126938900000141,0.005,7,24,120,24,120,240,0.0,142,2,0.02
33,left,1.040408354999954,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
34,right,1.2482062859996859,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
35,left,1.176713628999778,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
36,right,1.0597119039996414,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
37,left,1.3230153749998408,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
38,left,1.2214530180001475,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
39,right,0.976958424999566,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
40,left,3.1013669400001618,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
41,left,1.329858589999958,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
42,right,1.4144853219997913,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
43,left,1.8502480509998804,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
44,left,1.9141398280000885,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
45,right,1.9395838459997776,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
46,right,1.2686678739999024,0.005,7,24,120,24,120,240,0.0,142,1,0.02
47,left,6.764154219999682,0.035,2,24,120,24,120,240,0.0,142,2,0.052
48,left,2.9109341900000345,0.005,4,24,120,24,120,240,0.0,142,2,0.011
49,right,1.360205342999734,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
50,right,1.1592187769995235,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
51,right,1.3053757269997277,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
52,left,1.3129076640000221,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
53,right,3.0549945600002957,0.005,4,24,120,24,120,240,0.0,142,1,0.011
54,left,2.6235683429997607,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
55,right,1.109997026999963,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
56,left,2.3855658509999103,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
57,left,2.07255386599968,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
58,left,2.2631794030000947,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
59,left,1.1270597659997748,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
60,right,1.4094295059996966,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
61,left,1.6967192579998027,0.005,4,24,120,24,120,240,0.0,142,1,0.011
62,left,1.9141319329999078,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
63,right,1.0505309890002081,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
64,left,1.5273452699996142,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
65,right,1.2472204999996848,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
66,left,3.6466547160000573,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
67,right,0.8789892540000892,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
68,left,2.42186750399992,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
69,right,2.2145452349998322,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
70,left,1.2391368189998957,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
71,left,1.2330122529999699,0.005,7,24,120,24,120,240,0.0,142,2,0.02
72,left,6.013765440999805,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
73,right,0.8020560849997764,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
74,left,2.235502967000002,0.005,4,24,120,24,120,240,0.0,142,2,0.011
75,right,2.3182652719999624,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
76,right,1.0345367869997517,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
77,left,1.0215761609999845,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
78,left,2.9057764199999383,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
79,right,2.3765795829997387,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
80,right,1.5098038989997349,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
81,right,3.702127440999675,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
82,right,1.1183552260001761,0.005,7,24,120,24,120,240,0.0,142,1,0.02
83,left,1.467510466000249,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
84,right,2.055053838000049,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
85,left,7.9387406620001,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
86,left,15.18073385799994,0.035,2,24,120,24,120,240,0.0,142,1,0.052
87,left,1.0971450089998598,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
88,left,1.1267078650000713,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
89,right,0.8264050880000013,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
90,left,0.8228524090002338,0.035,2,24,120,24,120,240,0.0,142,2,0.052
91,right,1.0638868220000859,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
92,left,1.0850131169997894,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
93,left,1.1270970319999378,0.035,7,24,120,24,120,240,0.0,142,2,0.14
94,left,2.3102719779997187,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
95,right,1.0728688540000348,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
96,left,1.134380905000171,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
97,right,1.538410144999716,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
