trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,0.43504242199992404,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
2,right,0.6271483610000814,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
3,right,0.5890367310000784,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
4,right,0.5473307639999803,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
5,left,1.1299273230001745,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
6,left,0.5721692059998986,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
7,right,0.6138748920000126,0.005,7,24,120,24,120,240,0.0,142,1,0.02
8,left,1.0226134229999388,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
9,right,0.44298044200013464,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
10,right,0.48103708800022105,0.035,2,24,120,24,120,240,0.0,142,1,0.052
11,left,0.5388614280000183,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
12,right,0.5884560080000938,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
13,left,0.5929998489998525,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
14,right,0.8551484110000729,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
15,left,0.6344980720000422,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
16,left,0.5103338640001311,0.005,7,24,120,24,120,240,0.0,142,2,0.02
17,left,0.5634429580002234,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
18,right,0.6545960840001044,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
19,left,0.513430198000151,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
20,left,0.8259769119999874,0.035,2,24,120,24,120,240,0.0,142,2,0.052
21,right,0.7094483079999918,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
22,right,0.5763253469999654,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
23,left,0.7391593699999248,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
24,left,0.8260316769999463,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
25,right,0.6271074400001453,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
26,right,2.1558971450001536,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
27,right,0.6662358380001479,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
28,left,0.9170022969999536,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
29,left,1.3103275149999263,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
30,left,0.5258960020000814,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
31,right,0.5634249700001419,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
32,left,0.693152659000134,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
33,left,0.9892918160001045,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
34,right,0.4856111639999199,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
35,right,0.4644503209999584,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
36,right,0.6343274380001276,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
37,right,0.5683882989999347,0.035,7,24,120,24,120,240,0.0,142,1,0.14
38,right,0.5718716510000377,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
39,left,1.0969911699999102,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
40,right,0.7010115379998751,0.005,4,24,120,24,120,240,0.0,142,2,0.011
41,left,0.4931648980000318,0.035,7,24,120,24,120,240,0.0,142,2,0.14
42,left,0.5262368549999792,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
43,left,0.6981516079999892,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
44,left,0.5720113460001812,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
45,left,0.6060238190000291,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
46,right,0.5602830499999527,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
47,right,0.7559561380001014,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
48,left,1.0103215819999605,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
49,left,0.49695690800012926,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
50,right,0.6717295460000514,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
51,right,0.642946203000065,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
52,right,0.6055139580000741,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
53,right,0.5167305789998409,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
54,left,0.6385058509999908,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
55,right,0.9104147259999991,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
56,right,1.03372938099983,0.005,4,24,120,24,120,240,0.0,142,1,0.011
57,left,0.8766471110000111,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
58,right,0.7301483229998667,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
59,right,0.5813105960000939,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
60,left,0.5680080800000269,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
61,left,0.5814254550000442,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
62,left,0.6094033130000298,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
63,left,0.7260766700001113,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
64,right,1.2065204900000026,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
65,right,0.905534975999899,0.005,4,24,120,24,120,240,0.0,142,2,0.011
66,left,0.5207284830000845,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
67,right,0.7518656160000319,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
68,right,0.5498698159999549,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
69,left,1.1761023980000118,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
70,right,0.5812033249999331,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
71,right,1.4058594470000116,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
72,left,0.6727924150000035,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
73,right,0.5604925410000305,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
74,left,0.6223644770000192,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
75,left,0.9774788879999505,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
76,right,0.5344081709999955,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
77,left,0.5513411020001513,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
78,right,0.7011401140000544,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
79,right,0.5801267049998842,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
80,left,1.3719148239999868,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
81,right,0.5585245120000764,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
82,left,1.1721518310000647,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
83,right,0.5882115770000382,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
84,right,0.5604120309999416,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
85,right,0.49652627799991933,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
86,right,0.7141048080000019,0.035,2,24,120,24,120,240,0.0,142,2,0.052
87,right,0.4848252340000272,0.005,7,24,120,24,120,240,0.0,142,1,0.02
88,left,0.7133003660001123,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
