trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,0.6940536879997126,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
2,right,0.529998679000073,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
3,right,0.5975793749994409,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
4,left,0.20937381099929553,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
5,right,0.5480368289995567,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
6,left,0.3423298459997568,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
7,right,0.604934972999672,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
8,left,0.38477574399985315,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
9,right,0.48943806499937637,0.035,2,24,120,24,120,240,0.0,142,1,0.052
10,left,0.41396831799966094,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
11,left,0.314009495999926,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
12,left,0.7300579609996021,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
13,right,0.3729599319999579,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
14,right,0.6021140799998648,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
15,left,0.5851251279996177,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
16,left,0.4315772609998021,0.005,7,24,120,24,120,240,0.0,142,2,0.02
17,right,0.6466392899997118,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
18,right,0.6297494669997832,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
19,right,0.5519386989999475,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
20,right,0.38981279599966,0.005,4,24,120,24,120,240,0.0,142,1,0.011
21,right,1.1471688909996374,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
22,right,0.580975526999282,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
23,right,0.5313146259995847,0.005,7,24,120,24,120,240,0.0,142,1,0.02
24,right,0.35981660599964016,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
25,right,0.5227804409996679,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
26,right,0.45857588599938026,0.035,7,24,120,24,120,240,0.0,142,1,0.14
27,left,0.7983042109999587,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
28,left,0.4852907339995909,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
29,right,0.7107790489994841,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
30,left,0.5479754579996552,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
31,left,0.3887783969994416,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
32,right,0.4685118469997178,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
33,left,0.5389734439995664,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
34,right,0.4763521499999115,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
35,left,0.45066815999962273,0.035,2,24,120,24,120,240,0.0,142,2,0.052
36,right,0.0002591509996818786,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
37,left,0.0002441489996272139,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
38,right,0.00026332599964007386,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
39,right,0.0002587579997452849,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
40,right,0.0002437059997646429,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
41,left,0.022094521999406425,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
42,left,0.4015205589994366,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
43,left,0.00026098899979842827,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
44,right,0.4634258259998205,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
45,left,0.3438509479997265,0.005,4,24,120,24,120,240,0.0,142,2,0.011
46,left,0.31321177899963004,0.035,7,24,120,24,120,240,0.0,142,2,0.14
47,right,0.6515812319998986,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
48,right,0.9481050739996135,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
49,left,0.5101808159997745,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
50,left,0.4178378819997306,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
51,right,1.1015499689997341,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
52,left,0.6345938109998315,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
53,right,0.7387101029994483,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
54,right,1.4060651729996607,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
55,right,0.48496473899967896,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
56,left,0.6100859539997145,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
57,right,0.40122289199962324,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
58,left,0.5395629889999327,0.035,7,24,120,24,120,240,0.0,142,2,0.14
59,right,0.8672510599994894,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
60,left,1.0045984159996806,0.005,4,24,120,24,120,240,0.0,142,2,0.011
61,left,0.5227682499994444,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
62,right,0.3516354829998818,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
63,right,0.7672310289999587,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
64,right,0.9264352320001308,0.035,2,24,120,24,120,240,0.0,142,1,0.052
65,left,1.0468949969995265,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
66,left,0.4761231989996304,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
67,right,0.3270162529997833,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
68,left,0.7809968120000121,0.005,7,24,120,24,120,240,0.0,142,1,0.02
69,right,0.8852451059997293,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
70,left,0.7439345849998062,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
71,left,0.6643213369998193,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
72,left,0.9803288759994757,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
73,right,0.4601110089993199,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
74,right,1.4423776029998407,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
75,left,0.484480906999579,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
76,left,0.5304802729997391,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
77,right,0.9138765889997558,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
78,right,1.1345036919992708,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
79,left,1.6966948419994878,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
80,right,0.8133337689996551,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
81,left,1.1349411659994075,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
82,left,0.523343654999735,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
83,right,0.8809363029995438,0.005,7,24,120,24,120,240,0.0,142,2,0.02
84,right,1.3054986399997688,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
85,left,0.33053363699946203,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
86,right,1.4018095369997354,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
87,right,0.44352443699972355,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
88,left,0.3684529669994845,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
89,left,1.4845191819995307,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
90,right,0.5558373549997668,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
91,right,1.4848625039994658,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
92,left,0.4847375340000326,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
93,left,0.40549955999949816,0.035,2,24,120,24,120,240,0.0,142,2,0.052
94,right,0.45149034899986873,0.005,4,24,120,24,120,240,0.0,142,1,0.011
95,left,0.42647899299981873,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
96,left,0.35949019800000315,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
97,right,0.439879211999596,0.035,7,24,120,24,120,240,0.0,142,1,0.14
98,left,1.0848276789993179,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
99,right,0.14407520999975532,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
100,right,0.5435999929995887,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
101,left,1.235120715999983,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
102,right,0.6023230030000377,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
103,right,1.0429494179998073,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
104,left,2.3430963569994674,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
105,right,0.8519342879999385,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
106,left,0.42239478999999847,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
107,left,2.2395035459994688,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
108,left,0.6558803009997973,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
109,right,0.5294807599998421,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
110,right,0.488837391999823,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
111,right,0.38937532699992516,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
112,left,0.6933591349998096,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
113,left,0.2256844639996416,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
114,left,1.8472401449994322,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
115,right,1.3276602859996274,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
116,right,0.6600237619995823,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
117,right,0.5514858389997244,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
118,right,0.15985604799971043,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
119,left,0.12287368499983131,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
120,right,0.7018176429996856,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
121,right,1.6436636239996005,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
122,left,0.3938027740000507,0.035,7,24,120,24,120,240,0.0,142,2,0.14
123,left,0.5725522209995688,0.005,4,24,120,24,120,240,0.0,142,1,0.011
124,left,0.7638053039995611,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
125,right,0.9725270449998789,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
126,left,0.7145430639998267,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
127,right,0.5885021309995864,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
128,left,0.514499006999813,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
129,right,0.7889209119994121,0.005,7,24,120,24,120,240,0.0,142,1,0.02
130,right,1.3643818359996658,0.035,2,24,120,24,120,240,0.0,142,2,0.052
131,left,0.6899056269994617,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
132,right,1.1180699569999888,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
133,left,0.5352992429993719,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
134,right,1.4479875379997793,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
135,right,1.318364919999567,0.035,2,24,120,24,120,240,0.0,142,1,0.052
136,left,1.985254034999798,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
137,right,0.45996387400009553,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
138,right,0.5081244959997093,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
139,right,0.5270978419994208,0.035,7,24,120,24,120,240,0.0,142,1,0.14
140,left,0.5218433789996197,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
141,right,0.587434681999639,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
142,right,0.42242400399982216,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
143,left,0.5896005259996855,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
144,right,0.5297960209995836,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
145,left,0.5065530979995856,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
146,right,0.33552208799937944,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
147,left,1.0057703789998413,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
148,right,1.2143718180000178,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
149,left,1.4348514419998537,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
150,left,0.7563814289997026,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
151,right,0.8477875169996878,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
152,right,2.372774157999629,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
153,right,2.0521091959999467,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
154,right,0.9186937609997585,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
155,right,0.5428660319994378,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
156,right,0.7055159389997243,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
157,right,0.4815948079994996,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
158,left,0.7788994079996883,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
159,left,0.4561248859999978,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
160,right,1.051664234999862,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
161,right,0.4718685109996841,0.005,4,24,120,24,120,240,0.0,142,2,0.011
