trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.5354915110001457,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
2,left,0.48884193600042636,0.035,2,24,120,24,120,240,0.0,142,2,0.052
3,right,0.4514958790005039,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
4,right,0.5603027480010496,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
5,left,0.4211371360006524,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
6,left,0.4716958520002663,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
7,left,0.501779721001185,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
8,left,0.4548377310002252,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
9,right,0.38429766400076915,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
10,right,0.7643563790006738,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
11,left,0.6645704610009489,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
12,left,0.43436272500093764,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
13,left,0.42628009899999597,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
14,left,0.5340557420004188,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
15,right,0.5469508070000302,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
16,left,0.2603822670007503,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
17,right,0.513863172001038,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
18,right,0.6265712140011601,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
19,left,0.5426746310004091,0.005,7,24,120,24,120,240,0.0,142,2,0.02
20,left,0.37578163600119296,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
21,right,0.534712999000476,0.005,4,24,120,24,120,240,0.0,142,1,0.011
22,right,0.5149067580005067,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
23,left,0.5555971720004891,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
24,left,0.6730434110013448,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
25,right,0.5602583890004098,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
26,left,0.4516445670005851,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
27,right,0.40984684500017465,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
28,right,0.4606219740007873,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
29,left,0.3228608700010227,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
30,left,0.6066607720003958,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
31,right,0.5104106720000345,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
32,left,0.6268049240006803,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
33,left,0.45125438800005213,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
34,right,0.5647443120005846,0.035,7,24,120,24,120,240,0.0,142,1,0.14
35,right,0.7639399350000531,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
36,right,0.7642370180001308,0.005,7,24,120,24,120,240,0.0,142,1,0.02
37,left,0.4812201360000472,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
38,right,0.46835471900067205,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
39,right,0.7641769740012023,0.035,2,24,120,24,120,240,0.0,142,1,0.052
40,left,0.5060460640006568,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
41,right,0.5848062380000556,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
42,right,0.5724156550013504,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
43,left,0.4719603330004247,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
44,left,0.5264583210000637,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
45,right,0.5142810630004533,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
46,left,0.5853141840007083,0.035,7,24,120,24,120,240,0.0,142,2,0.14
47,right,1.0925752640005157,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
48,left,0.7273780200002875,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
49,right,1.1309715090010286,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
50,right,3.11032075500043,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
51,left,0.5624907980009084,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
52,right,0.44369398500111856,0.005,4,24,120,24,120,240,0.0,142,2,0.011
53,right,1.613980692000041,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
54,right,0.6604628050008614,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
55,left,0.6190270670012978,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
56,right,0.521207249001236,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
