trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,6.663899880999452,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
2,right,1.7627016629994614,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
3,left,4.805746048999936,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
4,right,2.0391558589999477,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
5,left,3.0767451989995607,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
6,left,2.2851335129998915,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
7,left,1.8969182819992056,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
8,left,1.5646403129994724,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
9,left,3.3763805329990646,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
10,right,2.597571116999461,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
11,left,2.9304904449991227,0.005,7,24,120,24,120,240,0.0,142,2,0.02
12,right,1.6018107949994373,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
13,left,3.1056336669989832,0.005,7,24,120,24,120,240,0.0,142,1,0.02
14,left,1.8595211909996578,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
15,left,1.1514064619996134,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
16,left,1.0974588400003995,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
17,left,1.9430386469994119,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
18,left,1.5757992099997864,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
19,left,0.7974899979999464,0.035,2,24,120,24,120,240,0.0,142,2,0.052
20,right,0.9518387329999314,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
21,left,2.384979575998841,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
22,right,1.0348529889997735,0.035,7,24,120,24,120,240,0.0,142,1,0.14
23,right,2.518264165999426,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
24,right,1.7641713309994884,0.005,4,24,120,24,120,240,0.0,142,1,0.011
25,left,1.2803799359999175,0.035,7,24,120,24,120,240,0.0,142,2,0.14
26,right,2.2847345739992306,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
27,left,1.0184454009995534,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
28,left,0.947288762999051,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
29,right,0.8927723799997693,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
30,left,1.722982743999637,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
31,left,1.6718495899995105,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
32,right,1.3722420389995023,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
33,right,1.2024908510002206,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
34,right,1.0522685859996272,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
35,left,2.318946004999816,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
36,left,1.1885119079997821,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
37,right,1.0522171160000653,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
38,left,1.9482663109993155,0.005,4,24,120,24,120,240,0.0,142,2,0.011
39,right,3.6554751669991674,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
40,left,1.0711901489994489,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
41,left,1.4063425009999264,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
42,left,1.0305495839993455,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
43,left,2.843182011999488,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
44,right,1.7434385329997895,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
45,right,2.4972988919998897,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
46,left,1.205925247999403,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
47,right,2.304399945998739,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
48,left,0.9472173039994232,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
49,right,1.2637018879995594,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
50,right,1.3100325149998753,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
51,left,0.9265885689992501,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
52,right,1.801424161999421,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
53,left,1.5510484779997569,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
54,right,3.863742194999759,0.035,2,24,120,24,120,240,0.0,142,1,0.052
55,left,2.2800401750000674,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
56,right,1.8682283679991087,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
57,left,1.7891370839997762,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
58,right,2.581221968999671,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
59,left,1.273283452999749,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
60,left,1.155663010000353,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
61,right,3.901580099000057,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
62,right,1.6518022769996605,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
63,right,1.4687099719994876,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
64,left,2.775876850999339,0.005,4,24,120,24,120,240,0.0,142,2,0.011
65,right,3.4308295129994804,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
66,right,1.4889391729993804,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
67,left,0.9427637909993791,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
68,left,1.9843561699999555,0.005,4,24,120,24,120,240,0.0,142,1,0.011
69,left,0.8514014759994097,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
70,right,0.4598714599997038,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
71,left,0.9685153989994433,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
72,left,3.4519565459995647,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
73,left,1.813398960000086,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
74,left,1.951412994999373,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
75,left,1.6675105389995224,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
76,left,0.7853156809997017,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
77,right,0.6214476229997672,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
78,left,6.168675447000169,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
79,right,2.4847743740001533,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
80,left,1.4015097169994988,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
81,left,0.7479398479999873,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
82,left,0.6173596150001686,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
83,left,1.0552403519996005,0.035,7,24,120,24,120,240,0.0,142,2,0.14
84,left,1.8224576909997268,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
85,left,2.3347351799993703,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
86,right,2.3856628280000223,0.035,2,24,120,24,120,240,0.0,142,2,0.052
87,right,0.7685629609995885,0.035,7,24,120,24,120,240,0.0,142,1,0.14
88,right,0.934476681999513,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
89,left,0.7684704989997044,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
90,right,1.110746821000248,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
91,right,0.8106556099992304,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
92,right,1.0176812660001815,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
93,left,0.5418518409996977,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
94,right,0.8219752969998808,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
95,left,2.205007110999759,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
96,right,0.8594669819995033,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
97,right,2.06916033699963,0.005,7,24,120,24,120,240,0.0,142,1,0.02
98,left,0.6472350710000683,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
99,right,0.7173792059993502,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
100,left,0.8182468439999866,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
101,left,0.7097773919995234,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
102,right,0.6849471859995901,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
103,left,3.0395594429992343,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
104,right,2.7968488569995316,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
105,left,1.0141256099996099,0.035,2,24,120,24,120,240,0.0,142,1,0.052
106,right,2.259263096999348,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
107,left,0.7852113539993297,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
108,right,1.4640858259999732,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
109,right,1.176253208000162,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
110,left,0.47661626399985835,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
111,left,1.1806737399992926,0.005,7,24,120,24,120,240,0.0,142,2,0.02
112,left,3.109848045000035,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
113,left,1.2390062399999806,0.005,4,24,120,24,120,240,0.0,142,1,0.011
114,left,1.1629966780001268,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
115,right,0.9521613489996525,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
116,right,2.314772240999446,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
117,right,0.8723271179997028,0.005,7,24,120,24,120,240,0.0,142,1,0.02
118,left,1.4477272399999492,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
119,right,2.1770877330000076,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
120,left,1.3646937280000202,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
121,left,0.9845164700000169,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
122,right,1.2102883179995843,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
123,left,3.3348085579991675,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
124,left,1.7428438379993167,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
125,left,1.0395882920001895,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
126,left,2.051510973999939,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
127,left,1.8712640969997665,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
128,left,0.0002741469997999957,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
129,right,0.0002657049990375526,0.005,4,24,120,24,120,240,0.0,142,2,0.011
130,left,0.4519752119995246,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
131,left,1.0021069869999337,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
132,right,1.5260778479996588,0.035,7,24,120,24,120,240,0.0,142,1,0.14
133,left,2.0678248629992595,0.035,7,24,120,24,120,240,0.0,142,2,0.14
