trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,5.123027678000653,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
2,right,0.5174012129991752,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
3,right,0.70561830600127,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
4,left,0.7848265360007645,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
5,right,0.8399023009988014,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
6,left,0.6850585639986093,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
7,left,0.8505141949990502,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
8,left,0.8433725499999127,0.035,2,24,120,24,120,240,0.0,142,2,0.052
9,left,1.1474337140007265,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
10,right,1.1009206240014464,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
11,left,3.264112656999714,0.005,7,24,120,24,120,240,0.0,142,2,0.02
12,left,0.7641303609998431,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
13,right,0.6300916029995278,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
14,left,0.9514472380014922,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
15,left,0.8593923970001924,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
16,right,0.7102312160004658,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
17,left,1.5597696660006477,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
18,left,0.8228469449986733,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
19,left,0.7806263969996508,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
20,left,0.8036376350009959,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
21,left,0.9100561600007495,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
22,right,1.1469865830003982,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
23,right,0.5474009180015855,0.005,7,24,120,24,120,240,0.0,142,1,0.02
24,right,0.7769209620000765,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
25,left,1.9719298380005057,0.005,4,24,120,24,120,240,0.0,142,1,0.011
26,right,6.3560966169989115,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
27,left,1.7476881080001476,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
28,right,0.9804219899997406,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
29,left,0.7063140340014797,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
30,left,1.1980519110002206,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
31,left,1.309416615000373,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
32,left,1.1131116960004874,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
33,left,1.3767652810001891,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
34,left,0.8175933600014105,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
35,left,0.5722483720001037,0.035,7,24,120,24,120,240,0.0,142,2,0.14
36,left,0.8341815400017367,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
37,right,1.2351639789994806,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
38,left,1.5100822999993397,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
39,right,2.7965142659995763,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
40,right,1.201337472000887,0.035,2,24,120,24,120,240,0.0,142,1,0.052
41,left,7.272976475998803,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
42,left,0.7758946520007157,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
43,right,0.6798262370011798,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
44,right,0.8733146399990801,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
45,left,1.1315436650002084,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
46,right,1.1101132380008494,0.035,7,24,120,24,120,240,0.0,142,1,0.14
47,right,0.755441012999654,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
48,right,0.8217872149998584,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
49,right,0.8012590460002684,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
50,left,0.6265274569996109,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
51,right,1.2563191339995683,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
52,right,0.9182642460000352,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
53,left,1.2102754989991809,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
54,right,1.9932226050004829,0.005,4,24,120,24,120,240,0.0,142,2,0.011
55,right,2.214868581000701,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
56,left,0.6388490530007402,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
57,right,1.4808841969988862,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
58,left,0.8430473790012911,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
59,left,0.7164469229992392,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
60,left,0.7891386700011935,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
61,right,2.0269217240002035,0.035,2,24,120,24,120,240,0.0,142,2,0.052
62,left,1.0936400540012983,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
63,right,0.842775351000455,0.005,7,24,120,24,120,240,0.0,142,1,0.02
64,left,0.8397455140002421,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
65,right,1.3929705170012312,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
66,right,1.218627280999499,0.005,4,24,120,24,120,240,0.0,142,2,0.011
67,right,1.0058566839998093,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
68,right,0.8925320530015597,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
69,left,0.7507500000010623,0.035,7,24,120,24,120,240,0.0,142,2,0.14
70,right,1.0559160109987715,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
71,right,1.1647596780003369,0.035,2,24,120,24,120,240,0.0,142,1,0.052
72,right,0.7725367760012887,0.035,7,24,120,24,120,240,0.0,142,1,0.14
73,left,0.8598856810003781,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
74,right,0.9521021399996243,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
75,left,0.9684913140008575,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
76,left,7.13891129699914,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
77,right,0.963836925000578,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
78,left,0.9006366789999447,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
79,right,0.6097373689990491,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
80,left,0.7469597620001878,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
81,left,0.6857431000007637,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
82,left,0.8227909109991742,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
83,left,0.6967740590007452,0.005,7,24,120,24,120,240,0.0,142,2,0.02
84,right,0.5121064260001731,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
85,left,0.5428325700013374,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
86,right,0.7351972029991884,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
87,left,0.5219423510006891,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
88,left,0.6800423370004864,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
89,left,0.8330989089990908,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
90,left,1.460027484999955,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
91,right,1.1722370910010795,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
92,right,0.6725654000001668,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
93,right,0.8686446220017388,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
94,right,0.7311408429995936,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
95,left,0.9716814229996089,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
96,right,0.9971348670005682,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
97,left,3.5843693879996863,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
98,right,2.789502314000856,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
99,left,2.034907754001324,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
100,right,2.331291153001075,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
101,left,0.8141728480004531,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
102,right,0.751766598001268,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
103,left,2.143932892000521,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
104,right,0.843743794999682,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
105,right,0.659355443000095,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
106,right,0.7099601919999259,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
107,left,1.3763988300015626,0.005,4,24,120,24,120,240,0.0,142,1,0.011
108,right,0.5922971060008422,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
109,left,2.2976646719998826,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
110,left,0.610150333999627,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
111,right,0.7720648430004076,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
112,left,1.4602264120003383,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
113,left,0.8099170750010671,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
114,left,0.7549340540008416,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
115,right,1.2932975860003353,0.005,4,24,120,24,120,240,0.0,142,1,0.011
116,left,0.7678400710010465,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
117,right,0.6882663289998163,0.035,2,24,120,24,120,240,0.0,142,1,0.052
118,right,1.2061962059997313,0.005,4,24,120,24,120,240,0.0,142,2,0.011
119,right,0.8342610039999272,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
120,right,2.4185845680003695,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
121,right,0.8551295260003826,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
122,right,8.956001831998947,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
123,left,0.7928912589995889,0.035,2,24,120,24,120,240,0.0,142,2,0.052
124,right,1.8012154340012785,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
125,right,0.972824247999597,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
126,right,0.7429381289985031,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
127,left,1.0810125579992018,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
128,left,1.8431427989999065,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
129,right,2.035576382999352,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
130,left,2.772193500000867,0.005,7,24,120,24,120,240,0.0,142,2,0.02
131,left,0.829899184000169,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
132,left,3.5055828770018707,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
133,right,0.8302488010012894,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
134,left,0.8893792819999362,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
135,left,0.7101704730011988,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
136,right,1.0592697829997633,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
137,left,1.8009158149998257,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
138,left,1.0524469209995004,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
139,left,1.0349232090011355,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
140,right,1.168929596999078,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
141,right,1.0592725280002924,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
142,left,5.227002843999799,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
143,left,2.1888232099991,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
144,right,0.8363472380005987,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
145,left,1.4428970810004103,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
146,left,1.7308635399986088,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
147,right,0.6724900860008347,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
148,left,2.3098833929998364,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
149,right,1.138541565000196,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
150,left,0.7139440409991948,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
151,left,8.034356638001555,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
152,left,0.7767999869993218,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
