trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.9641468450008688,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
2,right,0.5595623440003692,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
3,right,0.7227631589994417,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
4,left,0.5348626720005996,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
5,right,0.5597902389999945,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
6,right,0.5772811469996668,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
7,right,0.5473380210005416,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
8,left,1.114023233001717,0.035,2,24,120,24,120,240,0.0,142,2,0.052
9,left,0.5638111759999447,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
10,right,0.8431572320005216,0.005,4,24,120,24,120,240,0.0,142,1,0.011
11,right,0.6806145840000681,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
12,right,0.5306475500001397,0.005,7,24,120,24,120,240,0.0,142,1,0.02
13,left,0.48983343900181353,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
14,left,0.8977534940004261,0.005,7,24,120,24,120,240,0.0,142,2,0.02
15,right,0.5935058479990403,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
16,right,0.5389339739995194,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
17,right,0.43936103700070817,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
18,left,0.5178623720003088,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
19,right,0.5392064550014766,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
20,left,0.35586938499909593,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
21,right,0.7185983929994109,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
22,right,0.5358132649998879,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
23,left,0.5469718230015133,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
24,right,0.7772128060005343,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
25,left,0.5380460810010845,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
26,right,0.6216039730006742,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
27,right,1.3014684870013298,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
28,left,0.5179476680004882,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
29,left,0.5887389639992762,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
30,left,0.5582497770010377,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
31,left,0.5975893530012399,0.035,7,24,120,24,120,240,0.0,142,2,0.14
32,left,0.9770937650009728,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
33,right,0.6134065930018551,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
34,left,0.7345123100003548,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
35,left,10.714013082999372,0.005,4,24,120,24,120,240,0.0,142,2,0.011
36,right,0.610366717000943,0.035,7,24,120,24,120,240,0.0,142,1,0.14
37,left,0.8061441490008292,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
