trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.4455708219998087,0.005,7,24,120,24,120,240,0.0,142,2,0.02
2,right,0.5144283349995931,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
3,left,0.5554176710002139,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
4,right,0.5051569170000221,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
5,right,0.5638661239995599,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
6,left,0.5845763590000388,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
7,right,0.4884590480000952,0.035,7,24,120,24,120,240,0.0,142,1,0.14
8,right,0.513944113999969,0.035,2,24,120,24,120,240,0.0,142,1,0.052
9,right,0.48856060499974774,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
10,left,0.5389734840000528,0.005,4,24,120,24,120,240,0.0,142,1,0.011
11,right,0.531138890999955,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
12,left,0.5426192039999478,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
13,left,0.43071823799982667,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
14,right,0.44330626199962353,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
15,left,0.4266416579998804,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
16,right,0.38475697199965,0.0096,7,24,120,24,120,240,0.0,142,1,0.0384
17,right,0.4388524559999496,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
18,left,0.42134148300010565,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
19,left,0.48473564400001123,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
20,right,0.41039125899987994,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
21,left,0.44003236800017476,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
22,right,0.45027767999999924,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
23,left,0.3729120449997936,0.035,7,24,120,24,120,240,0.0,142,2,0.14
24,left,0.447508776000177,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
25,right,0.625435237000147,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
26,right,0.6286405890000424,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
27,left,0.4927038549999452,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
28,left,0.41015971900014847,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
29,left,0.6429934929997216,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
30,right,0.38118389100009153,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
31,left,0.9307652759998746,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
32,left,0.43456914099988353,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
33,left,0.438722597999913,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
34,left,0.4596046659999047,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
35,right,0.41043656799956807,0.0183,1,24,120,24,120,240,0.0,142,2,0.0223
36,left,0.3506984249997913,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
37,right,0.4416486720001558,0.005,4,24,120,24,120,240,0.0,142,2,0.011
38,right,1.0270622190000722,0.035,1,24,120,24,120,240,0.0,142,2,0.0427
39,left,0.6976624109997829,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
40,left,0.6181506619996071,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
41,right,0.5098898030000782,0.005,7,24,120,24,120,240,0.0,142,1,0.02
42,left,0.4513721389998864,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
43,right,0.543020560000059,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
44,right,0.5474949849999575,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
45,left,0.5556588630001897,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
46,left,0.5131207439999343,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
47,left,0.605694751000101,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
48,right,0.4429657979994772,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
49,right,0.4522709789998771,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
50,left,0.4675519880001957,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
51,right,0.6604790480000702,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
52,left,0.4928100769998309,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
53,left,0.49327044699975886,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
54,right,0.5352172689999861,0.005,2,24,120,24,120,240,0.0,142,2,0.0074
55,left,0.5180834619995949,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
56,left,0.8799571519998608,0.035,2,24,120,24,120,240,0.0,142,2,0.052
57,left,0.5095848639998621,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
58,right,0.5477588299995659,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
59,left,0.5102359759998762,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
60,right,0.4307910589996027,0.035,7,24,120,24,120,240,0.0,142,1,0.14
61,left,0.6104360680001264,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
62,right,0.5011708000001818,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
63,left,0.5470506229999046,0.0096,1,24,120,24,120,240,0.0,142,2,0.0117
64,left,0.901124265999897,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
65,right,0.48511877499959155,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
66,left,0.4176420109997707,0.035,7,24,120,24,120,240,0.0,142,2,0.14
67,right,0.6970431600002485,0.005,3,24,120,24,120,240,0.0,142,2,0.0091
68,right,0.5065158490001522,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
69,right,0.5730366170000707,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
70,left,0.493086210999536,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
71,right,0.4723013190000529,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
72,left,0.5718841949997113,0.005,4,24,120,24,120,240,0.0,142,2,0.011
73,right,0.4678753799998958,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
74,left,0.5935415929998271,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
75,left,0.4606528209997123,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
76,left,0.4424978489996647,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
77,right,0.6097862510000596,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
78,left,0.6521298239999851,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
79,right,0.417896459000076,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
80,left,0.6179961590000858,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
