trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,right,0.7097443029997521,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
2,left,0.484665877000225,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
3,right,0.5564651750000849,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
4,left,0.9515576690000671,0.035,7,24,120,24,120,240,0.0,142,2,0.14
5,left,0.7106064850004259,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
6,left,0.593190247000166,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
7,right,0.7471127280005021,0.035,2,24,120,24,120,240,0.0,142,1,0.052
8,left,0.6895432390001588,0.005,4,24,120,24,120,240,0.0,142,2,0.011
9,right,0.5764670260005005,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
10,left,0.6841015580002932,0.005,7,24,120,24,120,240,0.0,142,2,0.02
11,right,0.7019657959999677,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
12,left,1.1054854530002558,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
13,right,0.5928698580000855,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
14,right,0.5638925710009062,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
15,right,0.5891165749999345,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
16,right,1.8204232830003093,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
17,left,0.6681776839996019,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
18,left,0.673120421000931,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
19,left,0.7728498489996127,0.035,6,24,120,24,120,240,0.0,142,2,0.1148
20,left,1.067825449999873,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
21,right,0.7603774879999037,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
22,right,0.5598650829997496,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
23,right,0.6022717920004652,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
24,left,0.7313268690004406,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
25,right,1.192346649000683,0.005,7,24,120,24,120,240,0.0,142,1,0.02
26,right,1.2469587330006107,0.035,7,24,120,24,120,240,0.0,142,1,0.14
27,left,1.3052984229998401,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
28,right,0.7933670140009781,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
29,left,0.8727223539999613,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
30,left,0.7980852499995308,0.0096,6,24,120,24,120,240,0.0,142,2,0.0315
31,right,0.5614221309997447,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
32,right,0.8432214940003178,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
33,right,0.9771560930003034,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
34,right,2.9772074400007114,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
35,right,0.8683352199996079,0.005,4,24,120,24,120,240,0.0,142,1,0.011
36,left,0.7438785710000957,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
