trial,response,rt,c_pedestal,condition,wave_length,fix_time,sti_time,presti_time,intersti_time,phase,n_pix,order,c_comparison
1,left,0.427136616000098,0.0183,7,24,120,24,120,240,0.0,142,2,0.0732
2,left,0.6887392919998092,0.035,2,24,120,24,120,240,0.0,142,1,0.052
3,right,0.8562327300005563,0.0183,2,24,120,24,120,240,0.0,142,1,0.0272
4,left,0.8560189099998752,0.0096,2,24,120,24,120,240,0.0,142,2,0.0143
5,right,2.801112656999976,0.005,5,24,120,24,120,240,0.0,142,1,0.0135
6,left,0.5646148760006326,0.005,1,24,120,24,120,240,0.0,142,1,0.0061
7,right,0.4642021460003889,0.0096,3,24,120,24,120,240,0.0,142,1,0.0174
8,left,0.40172962299948267,0.005,6,24,120,24,120,240,0.0,142,2,0.0164
9,left,0.4181939780000903,0.0183,1,24,120,24,120,240,0.0,142,1,0.0223
10,left,0.4848037359997761,0.0183,6,24,120,24,120,240,0.0,142,2,0.06
11,right,0.49680275400078244,0.035,1,24,120,24,120,240,0.0,142,1,0.0427
12,right,0.5102030299995022,0.0183,5,24,120,24,120,240,0.0,142,1,0.0493
13,right,0.6089272330000313,0.0183,3,24,120,24,120,240,0.0,142,1,0.0331
14,left,0.5095826430006127,0.005,3,24,120,24,120,240,0.0,142,1,0.0091
15,right,0.5064538200003881,0.035,6,24,120,24,120,240,0.0,142,1,0.1148
16,left,0.5731740009996429,0.0096,4,24,120,24,120,240,0.0,142,2,0.0212
17,left,0.4460529280004266,0.0183,3,24,120,24,120,240,0.0,142,2,0.0331
18,left,0.4604124059997048,0.0183,2,24,120,24,120,240,0.0,142,2,0.0272
19,right,0.5062875510002414,0.0096,5,24,120,24,120,240,0.0,142,1,0.0258
20,left,0.556142508999983,0.005,6,24,120,24,120,240,0.0,142,1,0.0164
21,left,0.46882657799960725,0.035,4,24,120,24,120,240,0.0,142,2,0.0773
22,right,0.5273361090003164,0.005,5,24,120,24,120,240,0.0,142,2,0.0135
23,left,0.40199786699940887,0.035,3,24,120,24,120,240,0.0,142,2,0.0634
24,right,0.4186215039999297,0.0183,7,24,120,24,120,240,0.0,142,1,0.0732
25,left,0.45564382599968667,0.005,4,24,120,24,120,240,0.0,142,2,0.011
26,right,0.4342201480003496,0.0183,4,24,120,24,120,240,0.0,142,1,0.0404
27,left,0.43958659899999475,0.0096,3,24,120,24,120,240,0.0,142,2,0.0174
28,right,0.5185070060006183,0.035,5,24,120,24,120,240,0.0,142,1,0.0942
29,left,0.5892817789999754,0.0096,1,24,120,24,120,240,0.0,142,1,0.0117
30,left,0.7559096499999214,0.0183,4,24,120,24,120,240,0.0,142,2,0.0404
31,right,0.5058341049998489,0.0183,6,24,120,24,120,240,0.0,142,1,0.06
32,left,0.6065749340004913,0.0183,5,24,120,24,120,240,0.0,142,2,0.0493
33,right,0.5180842449999545,0.035,4,24,120,24,120,240,0.0,142,1,0.0773
34,left,0.567415032000099,0.005,7,24,120,24,120,240,0.0,142,1,0.02
35,right,0.45459129700066114,0.0096,4,24,120,24,120,240,0.0,142,1,0.0212
36,right,0.5102649460004614,0.035,3,24,120,24,120,240,0.0,142,1,0.0634
37,left,0.3638884510000935,0.0096,5,24,120,24,120,240,0.0,142,2,0.0258
38,left,0.40930040999955963,0.0096,7,24,120,24,120,240,0.0,142,2,0.0384
39,left,0.5223566260001462,0.0096,2,24,120,24,120,240,0.0,142,1,0.0143
40,right,0.5391934039998887,0.005,2,24,120,24,120,240,0.0,142,1,0.0074
41,right,0.5137382740003886,0.0096,6,24,120,24,120,240,0.0,142,1,0.0315
42,left,0.5555629220007177,0.005,1,24,120,24,120,240,0.0,142,2,0.0061
43,left,0.47163096700023743,0.035,5,24,120,24,120,240,0.0,142,2,0.0942
