trial,response,c,wave_length,fix_time,presti_time,sti_time,phase,n_pix
1,5,0.09058412883391864,24,120,120,24,0.0,142
2,1,0.008835337329038611,24,120,120,24,0.0,142
3,1,0.009447387716369387,24,120,120,24,0.0,142
4,5,0.056680266880862674,24,120,120,24,0.0,142
5,0,0.015098436071982023,24,120,120,24,0.0,142
6,10,0.12451537454892805,24,120,120,24,0.0,142
7,4,0.039876471029151074,24,120,120,24,0.0,142
8,2,0.033728358722661424,24,120,120,24,0.0,142
9,3,0.04636241771417513,24,120,120,24,0.0,142
10,4,0.047941363027244284,24,120,120,24,0.0,142
11,4,0.05041117614431297,24,120,120,24,0.0,142
12,0,0.007226987846679277,24,120,120,24,0.0,142
13,5,0.06589936725745978,24,120,120,24,0.0,142
14,0,0.011549882070258807,24,120,120,24,0.0,142
15,7,0.1309300796369519,24,120,120,24,0.0,142
16,6,0.05481350640339798,24,120,120,24,0.0,142
17,0,0.010101836674652361,24,120,120,24,0.0,142
18,2,0.028054436389317927,24,120,120,24,0.0,142
19,3,0.043358821739132726,24,120,120,24,0.0,142
20,0,0.007599303280649753,24,120,120,24,0.0,142
21,0,0.01785062693268143,24,120,120,24,0.0,142
22,9,0.10015785555847133,24,120,120,24,0.0,142
23,10,0.08330889180705163,24,120,120,24,0.0,142
24,0,0.0058132548489913515,24,120,120,24,0.0,142
25,1,0.018770244352010586,24,120,120,24,0.0,142
26,1,0.02623692564730855,24,120,120,24,0.0,142
27,0,0.0129862155231348,24,120,120,24,0.0,142
28,10,0.10890448660210873,24,120,120,24,0.0,142
29,4,0.029499727274079183,24,120,120,24,0.0,142
30,0,0.009606913710464453,24,120,120,24,0.0,142
31,0,0.006112738471739894,24,120,120,24,0.0,142
32,3,0.04054981416620749,24,120,120,24,0.0,142
33,2,0.02713046556223616,24,120,120,24,0.0,142
34,4,0.07791171313402485,24,120,120,24,0.0,142
35,1,0.014358712893315207,24,120,120,24,0.0,142
36,2,0.05126240541841049,24,120,120,24,0.0,142
37,2,0.020409420840270268,24,120,120,24,0.0,142
38,1,0.024951490391249994,24,120,120,24,0.0,142
39,1,0.00993409232029696,24,120,120,24,0.0,142
40,1,0.008125729872318079,24,120,120,24,0.0,142
41,0,0.012144901661618995,24,120,120,24,0.0,142
42,7,0.10531772523708698,24,120,120,24,0.0,142
43,0,0.005170282891932363,24,120,120,24,0.0,142
44,0,0.005257586868740583,24,120,120,24,0.0,142
45,0,0.007727623028570648,24,120,120,24,0.0,142
46,3,0.03856314234891653,24,120,120,24,0.0,142
47,2,0.039214308978606255,24,120,120,24,0.0,142
48,2,0.02900987450129902,24,120,120,24,0.0,142
49,2,0.04263883409802467,24,120,120,24,0.0,142
50,1,0.02256646777825411,24,120,120,24,0.0,142
51,0,0.005716723820748316,24,120,120,24,0.0,142
52,0,0.01342848159004205,24,120,120,24,0.0,142
53,0,0.0066465544942619,24,120,120,24,0.0,142
54,3,0.05861060283285691,24,120,120,24,0.0,142
55,2,0.0305043870483684,24,120,120,24,0.0,142
56,1,0.021460860601681064,24,120,120,24,0.0,142
57,1,0.005528443936470685,24,120,120,24,0.0,142
58,2,0.041234527190531244,24,120,120,24,0.0,142
59,4,0.08056511949959808,24,120,120,24,0.0,142
60,3,0.04714528076548078,24,120,120,24,0.0,142
61,1,0.01277057509965475,24,120,120,24,0.0,142
62,3,0.07286419146635159,24,120,120,24,0.0,142
63,4,0.07534569651459232,24,120,120,24,0.0,142
64,0,0.007473114324777792,24,120,120,24,0.0,142
65,1,0.011744910206528297,24,120,120,24,0.0,142
66,1,0.011943231534339085,24,120,120,24,0.0,142
67,3,0.0419308020909158,24,120,120,24,0.0,142
68,0,0.010984014490497141,24,120,120,24,0.0,142
69,1,0.014847721524495233,24,120,120,24,0.0,142
70,1,0.011169487542239792,24,120,120,24,0.0,142
71,1,0.03316828811969904,24,120,120,24,0.0,142
72,10,0.09211370755295731,24,120,120,24,0.0,142
73,9,0.06701212587260232,24,120,120,24,0.0,142
